Video_ID,Transcript
D_ndrmuWkDc,[Music] super shy
wEI_7Xcfx_A,just some 16 year old benching three one five [Music] [Music]
QkOzYEq3vJg,did you know you are what you eat let me explain did you [Music]
TNUye8IYiHw,foreign [Music]
9OwhfDNhCRo,foreign [Applause] [Music]
hmhjHeSWcAg,the greatest feeling you can get in a gym or the most satisfying feeling you can get in the gym is the pump
nsnhEiaNzAw,chosen when we standing on business I'm body catcher slaugh gang Soul Snatcher
SM4DENUutrE,I can't expain I got a feeling that I just I can't R it's just a feeling that I want want it behind because it's something that is on it's on my mind I guess it
MIB2iJ7GI6k,everywhere I go I keep a picture in my wallet like here take a look at my girlfriend she's the only one I got oh my gosh
7K-y3Tv-9uA,[Music] [Music] [Music] [Music] [Applause] oh my goodness
Aa5HRUDhxJg,this that I want like it's mag Super E good
1SDx-StMcvU,we hit 100 000 subscribers crazy I just want to thank you guys for all the support and opportunities you have given to me and it's definitely been a great experience I'm still trying to find out the content that I want to create but I do have some big projects in the making so make sure you stay tuned for that so once again thank you guys so much for your support have a great day bye-bye laughs [Music]
dzaO4iGzeXc,things [Music]
S2Vt_CjsHrk,[Music] [Applause] [Music] [Applause] [Music]
TvhN_yGSdls,laughs [Music] [Applause] [Music] [Applause] [Music]
bmPvqnTEqzI,hi my name is Nick and I just turned 17 as a lot of you guys have pointed out I've been 16 for a long time almost like it's been a year and now I'm one year away from being an [Music] adult oh no so I have to retire my spot as a buff 16-year-old and enter a new door as a buff 17-year-old this year is going to be so much fun I'm currently on a bulk so get ready I got a lot of things planned so yeah I'll see you guys later bye
aq24TrjaVYA,this is the world's most productive routine and for the next 30 days I would be pushing myself to follow it the routine consisted of a run at 5:15 a.m. followed by a cold shower meditation for at least 20 minutes an intense workout no phone or any Digital entertainment for the full 30 days and more so what were the results on day one I started feeling like a philosopher nap is for the for the for the week by day three I realize Mother Nature could kick my ass raining all right you know just a little drizzle out there and by day six I was going crazy after realizing I was too broke to quit I started my training Arc also a big thanks to notion with their workplace I've been able to stay organized create priority lists for my days stay accountable with notion calendar and most importantly have fun while being productive notion has basically been the glue to this whole challenge so love you notion by day 30 I became Batman watch the full video on YouTube
-A7IfBjPNnk,foreign [Music] [Music]
v4aLy21ZQOc,foreign [Music]
03cK-szT_HA,online personal trainers they claim they can transform your body right through the screen but what's it really like to put them to the test that's where I come in I hir three life personal trainers on Fiverr with one goal to see if they're actually worth it and who create the best workout routine for me whoever wins gets 500 bucket roomies first up was ad dtia his session cost $115 and let's just say he was worth every Buck he had the best motivation I've ever seen and overall I think we had a very solid connection next was Jake for only $35 he created a full workout plan for me and made sure we went to failure on pretty much every set also I had the best CH of pump after the workout so bonus points and finally Donovan for a whopping $90 Donovan calculated every single rep and weight we would use and also showed me workouts for muscle groups I didn't even know existed I was shocked after training with all these personal trainers I can definitely say they're worth it especially if you're new to the gym or need an accountability partner but who won I guess you'll just have to find out by watching this video
Abn2hGspOEw,so if you want to start working out from home here are three inexpensive must-haves that help my body get from this to this the first one up is a door attached pull apart these are like 20 dollars really inexpensive and they can hit muscle groups like back arms and abs pretty good my second recommendation is adjustable dumbbells so they're like 60 to 100 and with this you could hit every muscle group thoroughly aside from chest which leads me into my third recommendation which is adjustable weight bench with a bench you can hit movements like an incline or regular chest press with these three things you pretty much have a full gym in your house but I would still recommend going to the gym just for the community and having that motivation but I must say working out by yourself for a long period of time does get boring but other than that having home gym is amazing and you should just have fun with it bye-bye
